번호,학과명,대출일자,입학년도,서명,출판년도,저자,출판사,청구기호,대출한 횟수
AJ1105475,전자공학전공,20140319,2011,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,24
AJ1107773,전자공학전공,20150213,2012,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,18
AJ1106678,전자공학전공,20140521,2011,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,20
AJ1105475,전자공학전공,20140305,2011,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,24
AJ1106678,전자공학전공,20140614,2011,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,20
AJ1106678,전자공학전공,20140428,2011,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,20
AJ1105733,전자공학전공,20140911,2011,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,22
AJ1105733,전자공학전공,20141125,2011,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,22
AJ1105475,전자공학전공,20140401,2011,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,24
AJ1105052,전자공학전공,20140901,2011,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,12
AJ1106678,전자공학전공,20140901,2011,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,20
AJ1107450,전자공학전공,20131208,2012,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,32
AJ1107450,전자공학전공,20131124,2012,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,32
AJ1104448,전자공학전공,20130906,2010,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,3
AJ1107450,전자공학전공,20131106,2012,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,32
AJ1107450,전자공학전공,20130909,2012,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,32
AJ1107450,전자공학전공,20131021,2012,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,32
AJ1102633,전자공학전공,20130515,2009,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,38
AJ1102633,전자공학전공,20130502,2009,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,38
AJ1107450,전자공학전공,20131008,2012,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,32
AJ1102861,전자공학전공,20130902,2009,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,35
AJ1104448,전자공학전공,20130921,2010,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,3
AJ1107450,전자공학전공,20130922,2012,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,32
AJ1102633,전자공학전공,20130407,2009,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,38
AJ1103670,전자공학전공,20121019,2009,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,20
AJ1102633,전자공학전공,20130325,2009,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,38
AJ1103670,전자공학전공,20130306,2009,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,20
AJ1103670,전자공학전공,20121021,2009,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,20
AJ1103677,전자공학전공,20121108,2009,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,20
AJ1106754,전자공학전공,20120928,2011,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,32
AJ1101493,전자공학전공,20121004,2008,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,30
AJ1103677,전자공학전공,20120919,2009,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,20
AJ1103670,전자공학전공,20120914,2009,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,20
AJ1102412,전자공학전공,20120827,2008,Field and wave electromagnetics,1989,Cheng David K,Addison-Wesley,530.141 C518f2,16
