번호,학과명,대출일자,입학년도,서명,출판년도,저자,출판사,청구기호
AJ1103369,사학전공,20140318,2009,헬프,2012,"Taylor,Tate",브에나 비스타,DD 791.430973 T246헬
AJ1104544,화학공학전공,20140829,2010,도가니,2012,황동혁,CJ entertainment,DD 791.430951 황25도
AJ1110937,심리학전공,20140326,2012,적과 흑,2003,"Autant-Lara, Claude",스카이시네마,DD 791.430944 A939적
AJ1110924,사학전공,20140520,2012,영국의 인도 통치 정책,2004,조길태,민음사,954.0941 조18영
AJ1102045,e-비즈니스학전공,20140610,2008,영국의 인도 통치 정책,2004,조길태,민음사,954.0941 조18영
AJ1105567,경제학전공,20131129,2010,영국의 인도 통치 정책,2004,조길태,민음사,954.0941 조18영
AJ1109455,경제학전공,20130614,2013,영국의 인도 통치 정책,2004,조길태,민음사,954.0941 조18영
AJ1103501,경영학전공,20130621,2009,영국의 인도 통치 정책,2004,조길태,민음사,954.0941 조18영
AJ1105707,미디어학과,20130607,2011,영국의 인도 통치 정책,2004,조길태,민음사,954.0941 조18영
AJ1103413,영어영문학전공,20121026,2009,영국의 인도 통치 정책,2004,조길태,민음사,954.0941 조18영
AJ1106088,간호학부,20111028,2011,영국의 인도 통치 정책,2004,조길태,민음사,954.0941 조18영
AJ1101863,심리학전공,20111212,2008,영국의 인도 통치 정책,2004,조길태,민음사,954.0941 조18영
AJ1106094,경제학전공,20110429,2011,영국의 인도 통치 정책,2004,조길태,민음사,954.0941 조18영
AJ1110003,정치외교학전공,20140512,2014,인도사,2012,조길태,민음사,954 조18인2
AJ1105567,경제학전공,20131129,2010,인도사,2012,조길태,민음사,954 조18인2
AJ1103763,기계공학과,20141207,2010,인도사,1994,조길태,민음사,954 조18인
AJ1110924,사학전공,20140520,2012,인도사,1994,조길태,민음사,954 조18인
AJ1108225,응용화학생명공학전공,20140619,2013,인도사,1994,조길태,민음사,954 조18인
AJ1109455,경제학전공,20130614,2013,인도사,1994,조길태,민음사,954 조18인
AJ1103501,경영학전공,20130621,2009,인도사,1994,조길태,민음사,954 조18인
AJ1105707,미디어학과,20130607,2011,인도사,1994,조길태,민음사,954 조18인
AJ1107028,심리학전공,20121106,2012,인도사,1994,조길태,민음사,954 조18인
AJ1107042,간호학부,20121205,2010,인도사,1994,조길태,민음사,954 조18인
AJ1105830,응용화학생명공학전공,20121130,2011,인도사,1994,조길태,민음사,954 조18인
AJ1107045,간호학부,20120912,2010,인도사,1994,조길태,민음사,954 조18인
AJ1106929,경제학전공,20120611,2012,인도사,1994,조길태,민음사,954 조18인
AJ1104166,정치외교학전공,20111212,2010,인도사,1994,조길태,민음사,954 조18인
AJ1101486,국어국문학과,20120611,2008,인도사,1994,조길태,민음사,954 조18인
AJ1100751,사학전공,20111025,2007,인도사,1994,조길태,민음사,954 조18인
AJ1106278,영어영문학전공,20141006,2011,대륙의 딸,2006,"Chang, Jung",까치,952.7092 C456wK황
AJ1101719,수학전공,20140304,2008,대륙의 딸,2006,"Chang, Jung",까치,952.7092 C456wK황
AJ1106926,경제학전공,20141105,2012,대륙의 딸,2006,"Chang, Jung",까치,952.7092 C456wK황
AJ1102945,경영학전공,20140507,2009,대륙의 딸,2006,"Chang, Jung",까치,952.7092 C456wK황
AJ1106780,응용화학생명공학전공,20131122,2012,대륙의 딸,2006,"Chang, Jung",까치,952.7092 C456wK황
AJ1106588,문화콘텐츠학전공,20121101,2011,대륙의 딸,2006,"Chang, Jung",까치,952.7092 C456wK황
AJ1102361,사학전공,20141215,2008,(사회과학도를 위한) 중국학 강의,2008,중국,인간사랑,952 중16김
AJ1109151,화학전공,20140528,2013,(사회과학도를 위한) 중국학 강의,2008,중국,인간사랑,952 중16김
AJ1108291,경제학전공,20140916,2011,(사회과학도를 위한) 중국학 강의,2008,중국,인간사랑,952 중16김
AJ1108329,영어영문학전공,20140904,2013,(사회과학도를 위한) 중국학 강의,2008,중국,인간사랑,952 중16김
AJ1101574,법학전공,20140903,2008,(사회과학도를 위한) 중국학 강의,2008,중국,인간사랑,952 중16김
AJ1104091,건설시스템공학전공,20140305,2010,(사회과학도를 위한) 중국학 강의,2008,중국,인간사랑,952 중16김
AJ1109735,영어영문학전공,20141216,2014,(사회과학도를 위한) 중국학 강의,2008,중국,인간사랑,952 중16김
AJ1109653,경영학전공,20140609,2011,(사회과학도를 위한) 중국학 강의,2008,중국,인간사랑,952 중16김
AJ1107639,영어영문학전공,20131203,2012,(사회과학도를 위한) 중국학 강의,2008,중국,인간사랑,952 중16김
AJ1102491,경영학전공,20121128,2009,(사회과학도를 위한) 중국학 강의,2008,중국,인간사랑,952 중16김
AJ1106782,응용화학생명공학전공,20120829,2012,(사회과학도를 위한) 중국학 강의,2008,중국,인간사랑,952 중16김
AJ1107521,신소재공학전공,20140413,2012,(함께 보는) 한국근현대사,2004,역사학연구소,서해문집,951.6 역52한서
AJ1108018,간호학부,20130318,2012,(함께 보는) 한국근현대사,2004,역사학연구소,서해문집,951.6 역52한서
AJ1102805,문화콘텐츠학전공,20121009,2009,(함께 보는) 한국근현대사,2004,역사학연구소,서해문집,951.6 역52한서
AJ1103414,경제학전공,20120327,2009,(함께 보는) 한국근현대사,2004,역사학연구소,서해문집,951.6 역52한서
AJ1100335,법학전공,20120322,2006,(함께 보는) 한국근현대사,2004,역사학연구소,서해문집,951.6 역52한서
AJ1100251,e-비즈니스학전공,20110610,2005,(함께 보는) 한국근현대사,2004,역사학연구소,서해문집,951.6 역52한서
AJ1108478,경영학전공,20140331,2013,살아있는 한국 근현대사 교과서,2007,김육훈,휴머니스트,951.6 김66살
AJ1101324,기계공학과,20140310,2007,살아있는 한국 근현대사 교과서,2007,김육훈,휴머니스트,951.6 김66살
AJ1106701,화학공학전공,20141104,2011,살아있는 한국 근현대사 교과서,2007,김육훈,휴머니스트,951.6 김66살
AJ1106304,기계공학과,20130326,2009,살아있는 한국 근현대사 교과서,2007,김육훈,휴머니스트,951.6 김66살
AJ1107799,경영학전공,20120522,2012,살아있는 한국 근현대사 교과서,2007,김육훈,휴머니스트,951.6 김66살
AJ1105484,영어영문학전공,20111229,2010,살아있는 한국 근현대사 교과서,2007,김육훈,휴머니스트,951.6 김66살
AJ1102046,전자공학전공,20111212,2008,살아있는 한국 근현대사 교과서,2007,김육훈,휴머니스트,951.6 김66살
AJ1106222,기계공학과,20110404,2011,살아있는 한국 근현대사 교과서,2007,김육훈,휴머니스트,951.6 김66살
AJ1105195,기계공학과,20150122,2010,(대하역사만화)박시백의 조선왕조실록,2005,박시백,휴머니스트,951.5 박58조
AJ1105894,경영학전공,20140410,2011,(대하역사만화)박시백의 조선왕조실록,2005,박시백,휴머니스트,951.5 박58조
AJ1108560,약학전공,20140919,2011,(대하역사만화)박시백의 조선왕조실록,2005,박시백,휴머니스트,951.5 박58조
AJ1104012,화학공학전공,20150102,2010,(대하역사만화)박시백의 조선왕조실록,2005,박시백,휴머니스트,951.5 박58조
AJ1108592,교통시스템공학전공,20140924,2013,(대하역사만화)박시백의 조선왕조실록,2005,박시백,휴머니스트,951.5 박58조
AJ1102581,정보컴퓨터공학전공,20140821,2009,(대하역사만화)박시백의 조선왕조실록,2005,박시백,휴머니스트,951.5 박58조
AJ1110169,금융공학전공,20140903,2014,(대하역사만화)박시백의 조선왕조실록,2005,박시백,휴머니스트,951.5 박58조
AJ1110924,사학전공,20140528,2012,(대하역사만화)박시백의 조선왕조실록,2005,박시백,휴머니스트,951.5 박58조
AJ1109743,사학전공,20140509,2014,(대하역사만화)박시백의 조선왕조실록,2005,박시백,휴머니스트,951.5 박58조
AJ1104095,경영학전공,20131022,2010,(대하역사만화)박시백의 조선왕조실록,2005,박시백,휴머니스트,951.5 박58조
AJ1109006,기계공학과,20130812,2011,(대하역사만화)박시백의 조선왕조실록,2005,박시백,휴머니스트,951.5 박58조
AJ1102299,경영학전공,20130910,2008,(대하역사만화)박시백의 조선왕조실록,2005,박시백,휴머니스트,951.5 박58조
AJ1108644,소프트웨어융합전공,20140203,2013,역사ⓔ,2013,역사채널ⓔ,북하우스,951 역52역세
AJ1105978,간호학부,20140807,2011,역사ⓔ,2013,역사채널ⓔ,북하우스,951 역52역세
AJ1110089,경제학전공,20140831,2014,역사ⓔ,2013,역사채널ⓔ,북하우스,951 역52역세
AJ1103807,경영학전공,20140602,2009,역사ⓔ,2013,역사채널ⓔ,북하우스,951 역52역세
AJ1105274,정보컴퓨터공학전공,20131028,2010,역사ⓔ,2013,역사채널ⓔ,북하우스,951 역52역세
AJ1109202,화학공학전공,20140307,2013,역사ⓔ,2013,역사채널ⓔ,북하우스,951 역52역북
AJ1103802,응용화학생명공학전공,20140724,2009,십자군 이야기,2011,염야칠생,문학동네,940.18 염63십
AJ1110048,금융공학전공,20140502,2014,십자군 이야기,2011,염야칠생,문학동네,940.18 염63십
AJ1108036,경영학전공,20150119,2012,십자군 이야기,2011,염야칠생,문학동네,940.18 염63십
AJ1102301,경제학전공,20131030,2008,십자군 이야기,2011,염야칠생,문학동네,940.18 염63십
AJ1100702,사학전공,20130512,2006,십자군 이야기,2011,염야칠생,문학동네,940.18 염63십
AJ1104567,경제학전공,20130325,2010,십자군 이야기,2011,염야칠생,문학동네,940.18 염63십
AJ1106252,간호학부,20120829,2011,십자군 이야기,2011,염야칠생,문학동네,940.18 염63십
AJ1107127,사학전공,20131107,2012,(새로 쓴) 서양사총론,1998,차하순,探求堂,940.01 차92서새
AJ1103528,행정학전공,20120312,2009,(새로 쓴) 서양사총론,1998,차하순,探求堂,940.01 차92서새
AJ1104430,문화콘텐츠학전공,20111010,2010,(새로 쓴) 서양사총론,1998,차하순,探求堂,940.01 차92서새
AJ1101482,영어영문학전공,20141017,2008,(새로 쓴) 서양사총론,2008,차하순,探求堂,940.01 차92서3
AJ1101577,법학전공,20140521,2008,(새로 쓴) 서양사총론,2008,차하순,探求堂,940.01 차92서3
AJ1106090,기계공학과,20140627,2011,(새로 쓴) 서양사총론,2008,차하순,探求堂,940.01 차92서3
AJ1106772,응용화학생명공학전공,20131128,2011,(새로 쓴) 서양사총론,2008,차하순,探求堂,940.01 차92서3
AJ1107259,심리학전공,20131206,2012,(새로 쓴) 서양사총론,2008,차하순,探求堂,940.01 차92서3
AJ1107824,e-비즈니스학전공,20131010,2012,(새로 쓴) 서양사총론,2008,차하순,探求堂,940.01 차92서3
AJ1101338,영어영문학전공,20111213,2007,(새로 쓴) 서양사총론,2008,차하순,探求堂,940.01 차92서3
AJ1104718,사학전공,20110322,2009,(새로 쓴) 서양사총론,2008,차하순,探求堂,940.01 차92서3
AJ1107943,사회학전공,20141213,2012,서양사강의,2007,배영수,한울,940 배64서개
AJ1107957,정치외교학전공,20131129,2012,서양사강의,2007,배영수,한울,940 배64서개
AJ1107824,e-비즈니스학전공,20131010,2012,서양사강의,2007,배영수,한울,940 배64서개
AJ1100620,사학전공,20121003,2006,서양사강의,2007,배영수,한울,940 배64서개
AJ1103048,경제학전공,20130409,2009,서양사강의,1994,배영수,한울아카데미,940 배64개
AJ1106454,건축학과,20120612,2011,서양사강의,1994,배영수,한울아카데미,940 배64개
AJ1100119,경제학전공,20110602,2005,서양사강의,1994,배영수,한울아카데미,940 배64개
AJ1103920,심리학전공,20140417,2010,서양문화사,2007,민석홍,서울대학교출판부,940 민54서개
AJ1105159,경영학전공,20141210,2010,서양문화사,2007,민석홍,서울대학교출판부,940 민54서개
AJ1109806,사학전공,20140728,2014,서양문화사,2007,민석홍,서울대학교출판부,940 민54서개
AJ1100551,경제학전공,20140312,2006,서양문화사,2007,민석홍,서울대학교출판부,940 민54서개
AJ1107240,미디어학과,20131125,2012,서양문화사,2007,민석홍,서울대학교출판부,940 민54서개
AJ1104095,경영학전공,20130903,2010,서양문화사,2007,민석홍,서울대학교출판부,940 민54서개
AJ1104944,간호학부,20121004,2010,서양문화사,2007,민석홍,서울대학교출판부,940 민54서개
AJ1106186,산업공학전공,20121004,2011,서양문화사,2007,민석홍,서울대학교출판부,940 민54서개
AJ1106454,건축학과,20120307,2011,서양문화사,2007,민석홍,서울대학교출판부,940 민54서개
AJ1103214,기계공학과,20120213,2009,서양문화사,2007,민석홍,서울대학교출판부,940 민54서개
AJ1103920,심리학전공,20140417,2010,西洋史槪論,2007,민석홍,三英社,940 민54서2
