,번호,학과명,대출일자,입학년도,서명,출판년도,저자,출판사,청구기호
4,AJ1102045,e-비즈니스학전공,20140610,2008,영국의 인도 통치 정책,2004,조길태,민음사,954.0941 조18영
7,AJ1103501,경영학전공,20130621,2009,영국의 인도 통치 정책,2004,조길태,민음사,954.0941 조18영
19,AJ1103501,경영학전공,20130621,2009,인도사,1994,조길태,민음사,954 조18인
32,AJ1102945,경영학전공,20140507,2009,대륙의 딸,2006,"Chang, Jung",까치,952.7092 C456wK황
42,AJ1109653,경영학전공,20140609,2011,(사회과학도를 위한) 중국학 강의,2008,중국,인간사랑,952 중16김
44,AJ1102491,경영학전공,20121128,2009,(사회과학도를 위한) 중국학 강의,2008,중국,인간사랑,952 중16김
51,AJ1100251,e-비즈니스학전공,20110610,2005,(함께 보는) 한국근현대사,2004,역사학연구소,서해문집,951.6 역52한서
52,AJ1108478,경영학전공,20140331,2013,살아있는 한국 근현대사 교과서,2007,김육훈,휴머니스트,951.6 김66살
56,AJ1107799,경영학전공,20120522,2012,살아있는 한국 근현대사 교과서,2007,김육훈,휴머니스트,951.6 김66살
61,AJ1105894,경영학전공,20140410,2011,(대하역사만화)박시백의 조선왕조실록,2005,박시백,휴머니스트,951.5 박58조
66,AJ1110169,금융공학전공,20140903,2014,(대하역사만화)박시백의 조선왕조실록,2005,박시백,휴머니스트,951.5 박58조
69,AJ1104095,경영학전공,20131022,2010,(대하역사만화)박시백의 조선왕조실록,2005,박시백,휴머니스트,951.5 박58조
71,AJ1102299,경영학전공,20130910,2008,(대하역사만화)박시백의 조선왕조실록,2005,박시백,휴머니스트,951.5 박58조
75,AJ1103807,경영학전공,20140602,2009,역사ⓔ,2013,역사채널ⓔ,북하우스,951 역52역세
79,AJ1110048,금융공학전공,20140502,2014,십자군 이야기,2011,염야칠생,문학동네,940.18 염63십
80,AJ1108036,경영학전공,20150119,2012,십자군 이야기,2011,염야칠생,문학동네,940.18 염63십
93,AJ1107824,e-비즈니스학전공,20131010,2012,(새로 쓴) 서양사총론,2008,차하순,探求堂,940.01 차92서3
98,AJ1107824,e-비즈니스학전공,20131010,2012,서양사강의,2007,배영수,한울,940 배64서개
