번호,학과명,대출일자,입학년도,서명,출판년도,저자,출판사,청구기호
AJ1104544,화학공학전공,20140829,2010,도가니,2012,황동혁,CJ entertainment,DD 791.430951 황25도
AJ1103763,기계공학과,20141207,2010,인도사,1994,조길태,민음사,954 조18인
AJ1108225,응용화학생명공학전공,20140619,2013,인도사,1994,조길태,민음사,954 조18인
AJ1105830,응용화학생명공학전공,20121130,2011,인도사,1994,조길태,민음사,954 조18인
AJ1106780,응용화학생명공학전공,20131122,2012,대륙의 딸,2006,"Chang, Jung",까치,952.7092 C456wK황
AJ1104091,건설시스템공학전공,20140305,2010,(사회과학도를 위한) 중국학 강의,2008,중국,인간사랑,952 중16김
AJ1106782,응용화학생명공학전공,20120829,2012,(사회과학도를 위한) 중국학 강의,2008,중국,인간사랑,952 중16김
AJ1107521,신소재공학전공,20140413,2012,(함께 보는) 한국근현대사,2004,역사학연구소,서해문집,951.6 역52한서
AJ1101324,기계공학과,20140310,2007,살아있는 한국 근현대사 교과서,2007,김육훈,휴머니스트,951.6 김66살
AJ1106701,화학공학전공,20141104,2011,살아있는 한국 근현대사 교과서,2007,김육훈,휴머니스트,951.6 김66살
AJ1106304,기계공학과,20130326,2009,살아있는 한국 근현대사 교과서,2007,김육훈,휴머니스트,951.6 김66살
AJ1106222,기계공학과,20110404,2011,살아있는 한국 근현대사 교과서,2007,김육훈,휴머니스트,951.6 김66살
AJ1105195,기계공학과,20150122,2010,(대하역사만화)박시백의 조선왕조실록,2005,박시백,휴머니스트,951.5 박58조
AJ1104012,화학공학전공,20150102,2010,(대하역사만화)박시백의 조선왕조실록,2005,박시백,휴머니스트,951.5 박58조
AJ1108592,교통시스템공학전공,20140924,2013,(대하역사만화)박시백의 조선왕조실록,2005,박시백,휴머니스트,951.5 박58조
AJ1109006,기계공학과,20130812,2011,(대하역사만화)박시백의 조선왕조실록,2005,박시백,휴머니스트,951.5 박58조
AJ1109202,화학공학전공,20140307,2013,역사ⓔ,2013,역사채널ⓔ,북하우스,951 역52역북
AJ1103802,응용화학생명공학전공,20140724,2009,십자군 이야기,2011,염야칠생,문학동네,940.18 염63십
AJ1106090,기계공학과,20140627,2011,(새로 쓴) 서양사총론,2008,차하순,探求堂,940.01 차92서3
AJ1106772,응용화학생명공학전공,20131128,2011,(새로 쓴) 서양사총론,2008,차하순,探求堂,940.01 차92서3
AJ1106454,건축학과,20120612,2011,서양사강의,1994,배영수,한울아카데미,940 배64개
AJ1106186,산업공학전공,20121004,2011,서양문화사,2007,민석홍,서울대학교출판부,940 민54서개
AJ1106454,건축학과,20120307,2011,서양문화사,2007,민석홍,서울대학교출판부,940 민54서개
AJ1103214,기계공학과,20120213,2009,서양문화사,2007,민석홍,서울대학교출판부,940 민54서개
AJ1106772,응용화학생명공학전공,20131008,2011,西洋史槪論,2007,민석홍,三英社,940 민54서2
AJ1104224,생명공학전공,20130612,2010,西洋史槪論,2007,민석홍,三英社,940 민54서2
AJ1102867,생명공학전공,20131217,2009,西洋史槪論,1984,민석홍,三英社,940 민54서
AJ1110519,산업공학전공,20150128,2014,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1106396,산업공학전공,20140905,2011,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1104012,화학공학전공,20150114,2010,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1107434,건축공학전공,20140502,2012,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1103900,기계공학과,20140911,2009,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1107471,화학공학전공,20130711,2012,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1100494,건축공학전공,20130903,2006,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1103241,건축공학전공,20130206,2009,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1104642,산업공학전공,20130404,2010,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1103571,화학공학전공,20130125,2009,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1107133,신소재공학전공,20120430,2010,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1101324,기계공학과,20120326,2007,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1108702,건축학과,20140902,2013,서양 고대 문명의 역사,2003,"Blois, Lukas De",다락방,930 B652eK윤
AJ1106186,산업공학전공,20120920,2011,서양 고대 문명의 역사,2003,"Blois, Lukas De",다락방,930 B652eK윤
AJ1104140,응용화학생명공학전공,20140514,2010,Enjoy 오사카,2007,최영민,넥서스BOOKS,915.3 최64e
AJ1104244,기계공학과,20140808,2010,Enjoy 오사카,2007,최영민,넥서스BOOKS,915.3 최64e
AJ1101621,기계공학과,20130306,2008,Enjoy 오사카,2007,최영민,넥서스BOOKS,915.3 최64e
AJ1104140,응용화학생명공학전공,20140514,2010,(클로즈업) 오사카,2010,유재우,에디터,915.3 유73오
AJ1101011,산업공학전공,20130123,2007,(클로즈업) 오사카,2010,유재우,에디터,915.3 유73오
AJ1101621,기계공학과,20130306,2008,(클로즈업) 오사카,2010,유재우,에디터,915.3 유73오
AJ1104140,응용화학생명공학전공,20140813,2010,오사카,2010,실업지일본사. 부루가이도편집부,시공사,915.3 실64오개2
AJ1104244,기계공학과,20140920,2010,홍콩,2007,환타,중앙북스,915.293504 환882홍
AJ1107521,신소재공학전공,20130603,2012,홍콩,2007,환타,중앙북스,915.293504 환882홍
AJ1100464,산업공학전공,20130914,2006,홍콩,2007,환타,중앙북스,915.293504 환882홍
AJ1108443,응용화학생명공학전공,20140305,2013,(New) 내일로 기차로,2013,권다현,테라,915.1904 권22내2013
