번호,학과명,대출일자,입학년도,서명,출판년도,저자,출판사,청구기호
AJ1103369,사학전공,20140318,2009,헬프,2012,"Taylor,Tate",브에나 비스타,DD 791.430973 T246헬
AJ1110937,심리학전공,20140326,2012,적과 흑,2003,"Autant-Lara, Claude",스카이시네마,DD 791.430944 A939적
AJ1110924,사학전공,20140520,2012,영국의 인도 통치 정책,2004,조길태,민음사,954.0941 조18영
AJ1105567,경제학전공,20131129,2010,영국의 인도 통치 정책,2004,조길태,민음사,954.0941 조18영
AJ1109455,경제학전공,20130614,2013,영국의 인도 통치 정책,2004,조길태,민음사,954.0941 조18영
AJ1101863,심리학전공,20111212,2008,영국의 인도 통치 정책,2004,조길태,민음사,954.0941 조18영
AJ1106094,경제학전공,20110429,2011,영국의 인도 통치 정책,2004,조길태,민음사,954.0941 조18영
AJ1110003,정치외교학전공,20140512,2014,인도사,2012,조길태,민음사,954 조18인2
AJ1105567,경제학전공,20131129,2010,인도사,2012,조길태,민음사,954 조18인2
AJ1110924,사학전공,20140520,2012,인도사,1994,조길태,민음사,954 조18인
AJ1109455,경제학전공,20130614,2013,인도사,1994,조길태,민음사,954 조18인
AJ1107028,심리학전공,20121106,2012,인도사,1994,조길태,민음사,954 조18인
AJ1106929,경제학전공,20120611,2012,인도사,1994,조길태,민음사,954 조18인
AJ1104166,정치외교학전공,20111212,2010,인도사,1994,조길태,민음사,954 조18인
AJ1100751,사학전공,20111025,2007,인도사,1994,조길태,민음사,954 조18인
AJ1106926,경제학전공,20141105,2012,대륙의 딸,2006,"Chang, Jung",까치,952.7092 C456wK황
AJ1102361,사학전공,20141215,2008,(사회과학도를 위한) 중국학 강의,2008,중국,인간사랑,952 중16김
AJ1108291,경제학전공,20140916,2011,(사회과학도를 위한) 중국학 강의,2008,중국,인간사랑,952 중16김
AJ1101574,법학전공,20140903,2008,(사회과학도를 위한) 중국학 강의,2008,중국,인간사랑,952 중16김
AJ1103414,경제학전공,20120327,2009,(함께 보는) 한국근현대사,2004,역사학연구소,서해문집,951.6 역52한서
AJ1100335,법학전공,20120322,2006,(함께 보는) 한국근현대사,2004,역사학연구소,서해문집,951.6 역52한서
AJ1110924,사학전공,20140528,2012,(대하역사만화)박시백의 조선왕조실록,2005,박시백,휴머니스트,951.5 박58조
AJ1109743,사학전공,20140509,2014,(대하역사만화)박시백의 조선왕조실록,2005,박시백,휴머니스트,951.5 박58조
AJ1110089,경제학전공,20140831,2014,역사ⓔ,2013,역사채널ⓔ,북하우스,951 역52역세
AJ1102301,경제학전공,20131030,2008,십자군 이야기,2011,염야칠생,문학동네,940.18 염63십
AJ1100702,사학전공,20130512,2006,십자군 이야기,2011,염야칠생,문학동네,940.18 염63십
AJ1104567,경제학전공,20130325,2010,십자군 이야기,2011,염야칠생,문학동네,940.18 염63십
AJ1107127,사학전공,20131107,2012,(새로 쓴) 서양사총론,1998,차하순,探求堂,940.01 차92서새
AJ1103528,행정학전공,20120312,2009,(새로 쓴) 서양사총론,1998,차하순,探求堂,940.01 차92서새
AJ1101577,법학전공,20140521,2008,(새로 쓴) 서양사총론,2008,차하순,探求堂,940.01 차92서3
AJ1107259,심리학전공,20131206,2012,(새로 쓴) 서양사총론,2008,차하순,探求堂,940.01 차92서3
AJ1104718,사학전공,20110322,2009,(새로 쓴) 서양사총론,2008,차하순,探求堂,940.01 차92서3
AJ1107943,사회학전공,20141213,2012,서양사강의,2007,배영수,한울,940 배64서개
AJ1107957,정치외교학전공,20131129,2012,서양사강의,2007,배영수,한울,940 배64서개
AJ1100620,사학전공,20121003,2006,서양사강의,2007,배영수,한울,940 배64서개
AJ1103048,경제학전공,20130409,2009,서양사강의,1994,배영수,한울아카데미,940 배64개
AJ1100119,경제학전공,20110602,2005,서양사강의,1994,배영수,한울아카데미,940 배64개
AJ1103920,심리학전공,20140417,2010,서양문화사,2007,민석홍,서울대학교출판부,940 민54서개
AJ1109806,사학전공,20140728,2014,서양문화사,2007,민석홍,서울대학교출판부,940 민54서개
AJ1100551,경제학전공,20140312,2006,서양문화사,2007,민석홍,서울대학교출판부,940 민54서개
AJ1103920,심리학전공,20140417,2010,西洋史槪論,2007,민석홍,三英社,940 민54서2
AJ1109783,사학전공,20140304,2014,西洋史槪論,2007,민석홍,三英社,940 민54서2
AJ1109806,사학전공,20140516,2014,西洋史槪論,2007,민석홍,三英社,940 민54서2
AJ1100188,법학전공,20140513,2005,西洋史槪論,2007,민석홍,三英社,940 민54서2
AJ1104420,사학전공,20111031,2010,西洋史槪論,2007,민석홍,三英社,940 민54서2
AJ1101007,경제학전공,20131022,2007,西洋史槪論,1984,민석홍,三英社,940 민54서
AJ1109472,심리학전공,20130611,2013,西洋史槪論,1984,민석홍,三英社,940 민54서
AJ1102301,경제학전공,20130410,2008,西洋史槪論,1984,민석홍,三英社,940 민54서
AJ1106195,경제학전공,20140527,2011,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1104567,경제학전공,20140310,2010,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1109278,행정학전공,20140429,2012,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1105901,경제학전공,20140905,2011,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1107954,사회학전공,20140513,2012,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1105960,행정학전공,20140527,2011,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1100782,사학전공,20130922,2007,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1102175,경제학전공,20130503,2008,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1101266,경제학전공,20130409,2007,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1102119,경제학전공,20111003,2008,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1100622,사학전공,20110602,2006,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1103276,정치외교학전공,20110428,2009,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1100871,경제학전공,20110512,2007,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1105508,심리학전공,20141111,2010,서양 고대 문명의 역사,2003,"Blois, Lukas De",다락방,930 B652eK윤
AJ1106007,경제학전공,20140918,2011,서양 고대 문명의 역사,2003,"Blois, Lukas De",다락방,930 B652eK윤
AJ1104101,경제학전공,20140806,2010,Enjoy 오사카,2007,최영민,넥서스BOOKS,915.3 최64e
AJ1104838,심리학전공,20140428,2010,(클로즈업) 오사카,2012,유재우,에디터,915.3 유73오개증3
AJ1104101,경제학전공,20140806,2010,(클로즈업) 오사카,2012,유재우,에디터,915.3 유73오개증3
AJ1104101,경제학전공,20140806,2010,오사카,2010,실업지일본사. 부루가이도편집부,시공사,915.3 실64오개2
AJ1109806,사학전공,20140714,2014,오사카,2010,실업지일본사. 부루가이도편집부,시공사,915.3 실64오개2
AJ1101768,심리학전공,20150204,2008,(New) 내일로 기차로,2013,권다현,테라,915.1904 권22내2013
AJ1109399,경제학전공,20140107,2013,(New) 내일로 기차로,2013,권다현,테라,915.1904 권22내2013
AJ1101669,행정학전공,20140102,2008,내일로 기차로,2011,권다현,테라,915.1904 권22내
AJ1109399,경제학전공,20131113,2013,(새로 만든) 먼나라 이웃나라,2012,이원복,김영사,914.004 이66먼전개
AJ1108360,정치외교학전공,20130523,2011,(새로 만든) 먼나라 이웃나라,2012,이원복,김영사,914.004 이66먼전개
