,번호,학과명,대출일자,입학년도,서명,출판년도,저자,출판사,청구기호
62,AJ1108560,약학전공,20140919,2011,(대하역사만화)박시백의 조선왕조실록,2005,박시백,휴머니스트,951.5 박58조
255,AJ1108570,약학전공,20131010,2011,Best of Europe 230,2013,장백관,테라,914.04 장43b
274,AJ1105726,약학전공,20120709,2009,유럽,2008,박현숙,중앙북스,914.04 유294박
343,AJ1108570,약학전공,20131023,2011,이지 유럽,2007,신중혜,블루 출판사업부,914 이78신7
772,AJ1108564,약학전공,20140211,2011,인문학으로 광고하다,2009,박웅현,알마,659.1 박66인
829,AJ1106824,약학전공,20141110,2010,마케팅 불변의 법칙,1994,"Ries, Al",십일월출판사,658.8 R559TK박
830,AJ1108573,약학전공,20141104,2011,마케팅 불변의 법칙,1994,"Ries, Al",십일월출판사,658.8 R559TK박
832,AJ1106853,약학전공,20150120,2010,마케팅 불변의 법칙,1994,"Ries, Al",십일월출판사,658.8 R559TK박
1002,AJ1108575,약학전공,20131226,2011,육일약국 갑시다,2007,김성오,북이십일,658.409 김54육
1003,AJ1108564,약학전공,20131226,2011,육일약국 갑시다,2007,김성오,북이십일,658.409 김54육
1479,AJ1111030,약학전공,20141011,2012,(Ross의) 재무관리,2010,"Ross, Stephen A",한국맥그로힐,658.15 R826f9K박
1755,AJ1106857,약학전공,20120914,2010,아프니까 청춘이다,2010,김난도,쌤앤파커스,650.10842 김192아
2956,AJ1106827,약학전공,20120319,2010,미생물학,2008,"Nester, Eugene W",지코사이언스,616.9041 M626n5K이
2995,AJ1111031,약학전공,20140416,2012,미생물학,2004,"Johnson, Arthur G",신흥메드싸이언스,616.01 M626j4K대
2997,AJ1108564,약학전공,20140428,2011,(리핀코트의 그림으로 보는) 약리학,2012,"Harvey, Richard A",신일북스,615.1 H342L5iK임
2998,AJ1108570,약학전공,20140904,2011,(리핀코트의 그림으로 보는) 약리학,2012,"Harvey, Richard A",신일북스,615.1 H342L5iK임
2999,AJ1108560,약학전공,20140922,2011,(리핀코트의 그림으로 보는) 약리학,2012,"Harvey, Richard A",신일북스,615.1 H342L5iK임
3000,AJ1108573,약학전공,20150202,2011,(리핀코트의 그림으로 보는) 약리학,2012,"Harvey, Richard A",신일북스,615.1 H342L5iK임
3001,AJ1106821,약학전공,20140901,2010,(리핀코트의 그림으로 보는) 약리학,2012,"Harvey, Richard A",신일북스,615.1 H342L5iK임
3003,AJ1106824,약학전공,20130612,2010,(리핀코트의 그림으로 보는) 약리학,2012,"Harvey, Richard A",신일북스,615.1 H342L5iK임
3004,AJ1106833,약학전공,20130710,2010,(리핀코트의 그림으로 보는) 약리학,2012,"Harvey, Richard A",신일북스,615.1 H342L5iK임
3005,AJ1108571,약학전공,20141016,2011,(리핀코트의 그림으로 보는) 약리학,2006,"Harvey, Richard A",신일상사,615.1 H342L3K임
3006,AJ1108495,약학전공,20140411,2011,(리핀코트의 그림으로 보는) 약리학,2006,"Harvey, Richard A",신일상사,615.1 H342L3K임
3082,AJ1110995,약학전공,20140328,2012,인체생리학,2011,"Sherwood, Lauralee",라이프사이언스,612 S554hK강
3083,AJ1110998,약학전공,20141212,2012,인체생리학,2011,"Sherwood, Lauralee",라이프사이언스,612 S554hK강
3084,AJ1108576,약학전공,20130703,2011,인체생리학,2011,"Sherwood, Lauralee",라이프사이언스,612 S554h7K강
3088,AJ1111012,약학전공,20140418,2012,생리학,2005,"Sherwood, Lauralee",라이프사이언스,612 S554h5K강
