번호,학과명,대출일자,입학년도,서명,출판년도,저자,출판사,청구기호
AJ1103201,의학전공,20140327,2009,오사카,2013,부루가이도편집부,시공사,915.3 실64오개4
AJ1107802,의학전공,20120427,2012,내일로 기차로,2011,권다현,테라,915.1904 권22내
AJ1105963,의학전공,20130408,2011,(자신만만 세계여행) 유럽,2011,이미지,삼성,914.04 이38유개8
AJ1102346,의학전공,20110621,2008,유럽,2008,박현숙,중앙북스,914.04 유294박
AJ1100938,의학전공,20120730,2007,(21세기) 먼나라 이웃나라,2004,이원복,김영사,914.004 이66먼
AJ1100938,의학전공,20120730,2007,새 먼나라 이웃나라,1998,이원복,김영사,914.004 이664먼새
AJ1109504,의학전공,20140218,2013,이지 유럽,2007,신중혜,블루 출판사업부,914 이78신7
AJ1100938,의학전공,20120720,2007,홍콩,2005,전명윤,랜덤하우스중앙,910.202 손64랜v.11
AJ1109748,의학전공,20141211,2014,역사란 무엇인가,2002,"Carr, Edward Hallet",까치,901.9 C311w개K김
AJ1109500,의학전공,20140421,2013,역사란 무엇인가  -,1988,"Carr, Edward Hallett",홍신문화사,901 C311역K권
AJ1109492,의학전공,20131023,2013,경영정보시스템,2006,"Laudon, Kenneth C",사이텍미디어,658.4038 L372m9K김
AJ1105974,의학전공,20120501,2011,스티브 잡스,2011,"Isaacson, Walter",민음사,658.0092 I73sK안
AJ1108929,의학전공,20130923,2013,(김난도의) 내:일,2013,김난도,오우아,650.10842 김192내
AJ1104845,의학전공,20130807,2009,(유수연의) 독설,2012,유수연,위즈덤하우스,650.1 유56독
AJ1110126,의학전공,20140902,2014,지혜의 심리학,2013,김경일,진성북스,650.1 김14지진
AJ1107829,의학전공,20121120,2012,(대안 없는 대안) 원자력 발전,2005,신부용,생각의나무,621.483 신46원
AJ1103207,의학전공,20110429,2009,인체생리학,1997,신문균,현문사,612 신36인
AJ1108929,의학전공,20140702,2013,(최신) 식물 생리학,2003,권영명,아카데미서적,581.1 식36권아
AJ1108929,의학전공,20130408,2013,식물생리학,2001,"Hopkins, William G",을유문화사,581.1 H794iK권
