,번호,학과명,대출일자,입학년도,서명,출판년도,저자,출판사,청구기호
27,AJ1101486,국어국문학과,20120611,2008,인도사,1994,조길태,민음사,954 조18인
34,AJ1106588,문화콘텐츠학전공,20121101,2011,대륙의 딸,2006,"Chang, Jung",까치,952.7092 C456wK황
48,AJ1102805,문화콘텐츠학전공,20121009,2009,(함께 보는) 한국근현대사,2004,역사학연구소,서해문집,951.6 역52한서
87,AJ1104430,문화콘텐츠학전공,20111010,2010,(새로 쓴) 서양사총론,1998,차하순,探求堂,940.01 차92서새
121,AJ1101486,국어국문학과,20120426,2008,西洋史槪論,2007,민석홍,三英社,940 민54서2
128,AJ1104432,문화콘텐츠학전공,20111212,2010,西洋史槪論,1984,민석홍,三英社,940 민54서
152,AJ1106968,문화콘텐츠학전공,20140321,2012,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
197,AJ1108285,문화콘텐츠학전공,20130724,2011,Enjoy 오사카,2007,최영민,넥서스BOOKS,915.3 최64e
248,AJ1104431,불어불문학전공,20140219,2010,Best of Europe 230,2013,장백관,테라,914.04 장43b
286,AJ1110923,불어불문학전공,20140326,2012,(새로 만든) 먼나라 이웃나라,2012,이원복,김영사,914.004 이66먼전개
324,AJ1104059,문화콘텐츠학전공,20120531,2010,(21세기) 먼나라 이웃나라,2004,이원복,김영사,914.004 이66먼
364,AJ1104717,불어불문학전공,20110511,2009,유럽 100배 즐기기,2008,랜덤하우스코리아,랜덤하우스코리아,910.202 랜24유10
366,AJ1109244,문화콘텐츠학전공,20150108,2013,여행의 기술,2004,"Botton, Alain De",이레,910.01 B751aK정
375,AJ1109655,불어불문학전공,20140416,2013,(과학과 기술로 본) 세계사 강의,2005,"McClellan, James III",모티브북,909 M478sK전
407,AJ1104958,불어불문학전공,20130612,2009,서양 연극사 이야기,2001,"Barranger, Milly S",평민사,792.094 B268tK우
470,AJ1109245,문화콘텐츠학전공,20131128,2013,디자인의 이해,2005,민경우,미진사,745.4 민14디
565,AJ1107167,문화콘텐츠학전공,20130612,2010,유기공업화학,2001,"Wittcoff, Harold A",사이텍미디어,661.8 W827iK김
744,AJ1102805,문화콘텐츠학전공,20140212,2009,광고천재 이제석,2010,이제석,학고재,659.1092 이74광
749,AJ1107548,문화콘텐츠학전공,20131004,2012,광고천재 이제석,2010,이제석,학고재,659.1092 이74광
751,AJ1107987,문화콘텐츠학전공,20130318,2012,광고천재 이제석,2010,이제석,학고재,659.1092 이74광
764,AJ1109947,문화콘텐츠학전공,20140519,2014,광고심리학,2009,박은아,커뮤니케이션북스,659.1019 광15김
765,AJ1101154,국어국문학과,20141201,2007,광고심리학,2009,박은아,커뮤니케이션북스,659.1019 광15김
775,AJ1108285,문화콘텐츠학전공,20130722,2011,인문학으로 광고하다,2009,박웅현,알마,659.1 박66인
781,AJ1107402,문화콘텐츠학전공,20130904,2012,생각하는 미친놈,2011,박서원,센추리원,659.1 박54생
782,AJ1108285,문화콘텐츠학전공,20130710,2011,생각하는 미친놈,2011,박서원,센추리원,659.1 박54생
840,AJ1107348,문화콘텐츠학전공,20140915,2012,(Kotler의) 마케팅원리,2012,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p14K안
859,AJ1107348,문화콘텐츠학전공,20140929,2012,Kotler의 마케팅 원리,2008,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p12K안
867,AJ1107119,문화콘텐츠학전공,20131103,2012,Kotler의 마케팅 원리,2008,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p12K안
884,AJ1107348,문화콘텐츠학전공,20140929,2012,Principles of marketing,2007,"Kotler,Philip",Pearson Prentice Hall,658.8 K87p12
964,AJ1102107,불어불문학전공,20131126,2008,비즈니스 프로세스 경영,2012,"Anupindi, Ravi",피어슨에듀케이션코리아,658.5 M266a3K김
1007,AJ1100074,국어국문학과,20120419,2004,육일약국 갑시다,2007,김성오,북이십일,658.409 김54육
1078,AJ1111047,국어국문학과,20141205,2012,계량경영학의 이해,2005,최성용,21세기법경사,658.4033 최54계3
1102,AJ1111047,국어국문학과,20141212,2012,(켈러의) 경영경제통계학,2006,"Keller, Gerald",톰슨코퍼레이션코리아,658.4033 K29s7K이
1112,AJ1109947,문화콘텐츠학전공,20141024,2014,(켈러의) 경영경제통계학,2012,"Keller, Gerald",센게이지러닝코리아,658.4033 K29k9K이
1113,AJ1107580,국어국문학과,20130516,2012,(켈러의) 경영경제통계학,2012,"Keller, Gerald",센게이지러닝코리아,658.4033 K29k9K이
1172,AJ1107580,국어국문학과,20140319,2012,경영과학,2005,"Hillier, Frederick S",한경사,658.403 H654i2K노
1182,AJ1102807,문화콘텐츠학전공,20140225,2009,기획의 정석,2013,박신영,세종서적,658.4012 박58기
