,번호,학과명,대출일자,입학년도,서명,출판년도,저자,출판사,청구기호
30,AJ1101719,수학전공,20140304,2008,대륙의 딸,2006,"Chang, Jung",까치,952.7092 C456wK황
36,AJ1109151,화학전공,20140528,2013,(사회과학도를 위한) 중국학 강의,2008,중국,인간사랑,952 중16김
183,AJ1100626,화학전공,20131212,2007,서양 고대 문명의 역사,2003,"Blois, Lukas De",다락방,930 B652eK윤
184,AJ1107247,화학전공,20131127,2012,서양 고대 문명의 역사,2003,"Blois, Lukas De",다락방,930 B652eK윤
186,AJ1101120,화학전공,20130319,2007,서양 고대 문명의 역사,2003,"Blois, Lukas De",다락방,930 B652eK윤
189,AJ1100661,물리학전공,20120417,2007,서양 고대 문명의 역사,2003,"Blois, Lukas De",다락방,930 B652eK윤
234,AJ1105597,수학전공,20140528,2010,내일로 기차로,2011,권다현,테라,915.1904 권22내
253,AJ1100807,물리학전공,20130826,2007,Best of Europe 230,2013,장백관,테라,914.04 장43b
398,AJ1110781,화학전공,20140612,2014,역사란 무엇인가,2013,손영호,학지사,901 손64역
436,AJ1103849,화학전공,20130425,2009,연극개론,2003,"Brockett, Oscar G",한신,792.01 B864tK김수
561,AJ1105841,화학전공,20140911,2011,유기공업화학,1997,남기대,보성각,661.8 남18유
579,AJ1103197,화학전공,20140831,2009,화학공학 열역학,2005,"Smith, J.M",한국맥그로힐,660.2969 S653i7K김
581,AJ1103197,화학전공,20140924,2009,Introduction to chemical engineering thermodynamics,2005,"Smith, J. M. (Joseph Mauck) 1916-",McGraw-Hill,660.2969 S651i7
624,AJ1104223,화학전공,20141202,2010,(화학공학의) 단위조작,2009,임굉,내하,660.2842 임15단
647,AJ1103197,화학전공,20140831,2009,Unit operations of chemical engineering,2005,"McCabe, Warren L",McGraw-Hill,660.2842 M478u7
655,AJ1103197,화학전공,20140831,2009,단위조작,2005,"McCabe, Warren L",McGraw Hill Korea,660.2842 M121u7K이
724,AJ1105918,화학전공,20130403,2011,화공양론,2006,"Himmelblau, David M",한산,660.2 H658b7K조
791,AJ1100158,수학전공,20140419,2005,소비자 행동론,2003,"Solomon, Michale R",브레인코리아,658.8342 S689c3K리
876,AJ1100976,수학전공,20121121,2007,Kotler의 마케팅 원리,2008,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p12K안
986,AJ1110860,수학전공,20140508,2014,무리뉴 그 남자의 기술,2013,한준,브레인스토어,658.4092 한76무
990,AJ1108114,물리학전공,20131227,2011,무리뉴 그 남자의 기술,2013,한준,브레인스토어,658.4092 한76무
1025,AJ1101450,수학전공,20130903,2008,빅데이터 혁명,2012,권대석,북이십일 21세기북스,658.4038 권23빅
1186,AJ1102214,수학전공,20140103,2008,기획의 정석,2013,박신영,세종서적,658.4012 박58기
1202,AJ1100164,수학전공,20121206,2005,비즈니스 모델의 탄생,2011,"Osterwalder, Alexander",타임비즈,658.4012 O85bK유
1208,AJ1111057,물리학전공,20140313,2010,이케아 불편을 팔다,2013,"Jungbluth, Rudiger",미래의창,658.401 J95dK배
1253,AJ1100158,수학전공,20140611,2005,조직행위론,2008,신구범,형설,658.4 신16조수
1258,AJ1102031,화학전공,20121012,2008,조직행위론,2005,신구범,형설,658.4 신16조
1309,AJ1101423,수학전공,20121016,2008,조직행동론,2007,"Hellriegel, Don",한경사,658.4 H477o11K서
1310,AJ1100626,화학전공,20110619,2007,조직행동론,2007,"Hellriegel, Don",한경사,658.4 H477o11K서
1340,AJ1100164,수학전공,20130817,2005,(이시한의) 취업 자기소개서 불패(不敗)노트,2011,이시한,랜덤하우스코리아,658.31124 이58취
1352,AJ1103504,화학전공,20121023,2008,면접의 정석,2008,서형준,부키,658.31124 서94면
1373,AJ1107247,화학전공,20131224,2012,기적의 자소서,2012,조민혁,조선에듀케이션,658.311 조38기
1376,AJ1100164,수학전공,20130817,2005,기적의 자소서,2012,조민혁,조선에듀케이션,658.311 조38기
1443,AJ1109003,물리학전공,20140728,2013,카네기 인간관계론,2001,"Carnegie, Dale",카네기트레이닝 카네기연구소,658.3 C289hK최
1591,AJ1102214,수학전공,20140117,2008,IFRS 중급회계,2013,김영덕,다임,657.044 김64i4
1619,AJ1107723,수학전공,20140314,2012,회계학원론,2012,김호중,창민사,657 김95회7
1638,AJ1105647,물리학전공,20140902,2010,천 번을 흔들려야 어른이 된다,2012,김난도,오우아,650.19842 김192천
1648,AJ1102214,수학전공,20131015,2008,천 번을 흔들려야 어른이 된다,2012,김난도,오우아,650.19842 김192천
1736,AJ1109003,물리학전공,20140211,2013,아프니까 청춘이다,2010,김난도,쌤앤파커스,650.10842 김192아
1745,AJ1100289,물리학전공,20140120,2006,아프니까 청춘이다,2010,김난도,쌤앤파커스,650.10842 김192아
1760,AJ1100374,화학전공,20140203,2006,(김난도의) 내:일,2013,김난도,오우아,650.10842 김192내
1784,AJ1100374,화학전공,20121227,2006,독서 천재가 된 홍 대리,2011,이지성,다산북스,650.1 이78독
1790,AJ1105596,수학전공,20140724,2010,실행이 답이다,2011,이민규,더난,650.1 이38실
1793,AJ1106914,화학전공,20130923,2012,실행이 답이다,2011,이민규,더난,650.1 이38실
1814,AJ1107255,화학전공,20130906,2012,(유수연의) 독설,2012,유수연,위즈덤하우스,650.1 유56독
1847,AJ1104967,화학전공,20120622,2011,바보 빅터,2011,"Posada, Joachim de",한국경제신문 한경BP,650.1 P855vK한
1867,AJ1102978,화학전공,20110428,2009,마시멜로 이야기,2005,"Posada, Joachim de",한국경제신문,650.1 P855dK정
1877,AJ1102978,화학전공,20110428,2009,마시멜로 두 번째 이야기,2007,"Posada, Joachim de",한국경제신문사,650.1 P855dK공 v.2
2132,AJ1110864,화학전공,20141201,2014,기초공학,2008,송영우,구미서관,624.15 송64기
2253,AJ1101798,물리학전공,20140922,2008,디지털 설계 -,2001,"Wakerly, John F",에드텍,621.395 W149d3K김
2258,AJ1104935,물리학전공,20130523,2010,디지털 설계 -,2001,"Wakerly, John F",에드텍,621.395 W149d3K김
2275,AJ1103367,물리학전공,20140417,2007,디지털 디자인,2007,"Mano, M. Morris",피어슨에듀케이션코리아,621.395 M285d4K김
2422,AJ1104935,물리학전공,20130605,2010,통신시스템 공학,2004,"Blake, Roy",연세대학교 출판부,621.382 B636e2K김
2425,AJ1102097,물리학전공,20120607,2008,통신시스템 공학,2004,"Blake, Roy",연세대학교 출판부,621.382 B636e2K김
2435,AJ1101697,화학전공,20141212,2008,디스플레이 공학,2008,엄금용,기전연구사,621.381542 엄17디
2438,AJ1105650,물리학전공,20130506,2010,디스플레이 공학,2008,엄금용,기전연구사,621.381542 엄17디
2463,AJ1107647,물리학전공,20130326,2010,반도체 소자 공정기술,2006,"Quirk, Michael",淸文閣,621.38153 Q8sK최
2465,AJ1103347,화학전공,20140509,2009,반도체 공정기술,2003,황호정,생능출판사,621.38152 황95반개
2468,AJ1106286,물리학전공,20130313,2009,반도체 공정기술,2003,황호정,생능출판사,621.38152 황95반개
2469,AJ1107647,물리학전공,20130313,2010,반도체 공정기술,2003,황호정,생능출판사,621.38152 황95반개
2508,AJ1101798,물리학전공,20140922,2008,반도체소자원리,2008,"Dimitrijev, Sima",진샘미디어,621.38152 D582pK윤4
2513,AJ1103347,화학전공,20140507,2009,반도체소자원리,2008,"Dimitrijev, Sima",진샘미디어,621.38152 D582pK윤4
2545,AJ1111057,물리학전공,20110401,2010,디지털 논리회로,1998,김노환,학문사,621.3815 김195디
2559,AJ1107647,물리학전공,20120517,2010,전자회로,2005,"Floyd, Thomas L",피어슨에듀케이션코리아,621.3815 F645e7K강
2578,AJ1104935,물리학전공,20130523,2010,(현대) 전자회로,2006,장학신,光文閣,621.381 전72장
2686,AJ1101798,물리학전공,20130605,2008,회로이론,2003,"Irwin, J. David",교보문고,621.3192 I72b7K김
2689,AJ1103367,물리학전공,20141212,2007,회로이론,2005,"Dorf, Richard C",교보문고,621.3192 D695i6K오
2717,AJ1106739,화학전공,20130915,2011,(한번에 이해되는) AVR ATmega128 마이크로컨트롤러,2011,최한호,INFINITYBOOKS,621.317 최92a
2733,AJ1101798,물리학전공,20130501,2008,기초 전기전자 실험,2007,김상배,홍릉과학,621.3028 김52기개
2798,AJ1105842,화학전공,20140902,2011,재료과학과 공학,2008,"Smith, William Fortune",사이텍미디어,620.11 S663f4K고
2802,AJ1108122,화학전공,20140911,2011,재료과학과 공학,1999,"Smith, William F",淸文閣,620.11 S663f2K강
2854,AJ1107647,물리학전공,20120529,2010,유체역학,2008,"Munson, Bruce Roy",교보문고,620.106 M969f5K윤
